AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;punto inicial Dr A. Reyes
Method;
Comentarios;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99100919
Last_SST;8/18/2023 9:12:00 AM +00:00
User_Name;administrator
Measurement_Started;10/12/2023 1:13:42 AM
Measurement_Finished;10/12/2023 1:14:23 AM
Measurement_Saved;10/12/2023 1:15:00 AM
Wavelength;785
Laser_Power;450
Auto_Exposure;True
Exposure_Time;10000
Averaged_Spectra;1
Probe_Type;Microwave Probe (785 nm)
Probe_SN;99117511
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;False
Baseline_Correction;True
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
1978.00;-21.97
1980.00;1.39
1982.00;-15.90
1984.00;-23.98
1986.00;17.03
1988.00;16.47
1990.00;7.31
1992.00;-23.35
1994.00;33.82
1996.00;14.42
1998.00;15.77
2000.00;-16.62
2002.00;-5.94
2004.00;-13.94
2006.00;-7.68
2008.00;-32.74
2010.00;3.42
2012.00;5.98
2014.00;-4.23
2016.00;6.13
2018.00;3.63
2020.00;-18.88
2022.00;-22.67
2024.00;-21.09
2026.00;4.10
2028.00;-21.76
2030.00;2.81
2032.00;-12.78
2034.00;7.90
2036.00;-26.44
2038.00;8.83
2040.00;-15.41
2042.00;-5.28
2044.00;-6.31
2046.00;3.95
2048.00;-12.92
2050.00;-6.28
2052.00;-21.52
2054.00;-18.37
2056.00;-4.49
2058.00;12.37
2060.00;34.41
2062.00;0.35
2064.00;45.17
2066.00;17.74
2068.00;14.42
2070.00;17.33
2072.00;36.30
2074.00;61.29
2076.00;65.38
2078.00;45.48
2080.00;80.87
2082.00;51.56
2084.00;48.42
2086.00;65.60
2088.00;78.23
2090.00;22.25
2092.00;67.33
2094.00;54.70
2096.00;42.87
2098.00;9.25
2100.00;-1.17
2102.00;21.93
2104.00;40.63
2106.00;10.25
2108.00;-4.20
2110.00;-12.05
2112.00;8.27
2114.00;-7.09
2116.00;-8.54
2118.00;21.25
2120.00;-6.99
2122.00;-24.49
2124.00;-5.55
2126.00;11.19
2128.00;5.99
2130.00;-81.84
2132.00;-18.38
2134.00;1.66
2136.00;-21.83
2138.00;-17.54
2140.00;9.34
2142.00;-7.42
2144.00;-27.30
2146.00;-24.94
2148.00;-34.35
2150.00;-15.98
2152.00;-28.02
2154.00;21.31
2156.00;-35.34
2158.00;-21.75
2160.00;-8.17
2162.00;-0.53
2164.00;-11.89
2166.00;4.11
2168.00;-17.23
2170.00;-1.97
2172.00;-37.44
2174.00;-11.16
2176.00;-14.15
2178.00;-5.25
2180.00;-5.92
2182.00;-5.15
2184.00;-20.46
2186.00;-21.88
2188.00;-9.71
2190.00;3.08
2192.00;-3.44
2194.00;-0.49
2196.00;54.77
2198.00;35.34
2200.00;22.78
2202.00;22.68
2204.00;45.54
2206.00;43.54
2208.00;65.25
2210.00;71.87
2212.00;43.91
2214.00;87.98
2216.00;29.76
2218.00;66.04
2220.00;37.86
2222.00;73.36
2224.00;0.64
2226.00;12.77
2228.00;17.00
2230.00;42.48
2232.00;9.31
2234.00;12.37
2236.00;31.73
2238.00;24.17
2240.00;11.45
2242.00;17.21
2244.00;20.90
2246.00;-6.42
2248.00;-7.64
2250.00;-7.29
2252.00;-64.01
2254.00;-7.80
2256.00;17.01
2258.00;-30.54
2260.00;12.10
2262.00;-6.71
2264.00;32.32
2266.00;8.72
2268.00;-4.28
2270.00;-10.19
2272.00;17.42
2274.00;0.08
2276.00;32.73
2278.00;14.40
2280.00;-42.11
2282.00;12.41
2284.00;30.27
2286.00;-17.96
2288.00;26.65
2290.00;-0.88
2292.00;-2.23
2294.00;3.31
2296.00;-50.25
2298.00;2.75
2300.00;-30.27
